   1.000000000000000e+00    4.000000000000000e+00
   1.000000000000000e+00    2.500000000000000e+00
   1.000000000000000e+00    1.750000000000000e+00
   1.000000000000000e+00    1.375000000000000e+00
   1.000000000000000e+00    1.187500000000000e+00
   1.187500000000000e+00    1.375000000000000e+00
   1.375000000000000e+00    1.750000000000000e+00
   1.375000000000000e+00    1.562500000000000e+00
   1.562500000000000e+00    1.750000000000000e+00
   1.750000000000000e+00    2.500000000000000e+00
   1.750000000000000e+00    2.125000000000000e+00
   1.750000000000000e+00    1.937500000000000e+00
   1.937500000000000e+00    2.125000000000000e+00
   2.125000000000000e+00    2.500000000000000e+00
   2.125000000000000e+00    2.312500000000000e+00
   2.312500000000000e+00    2.500000000000000e+00
   2.500000000000000e+00    4.000000000000000e+00
   2.500000000000000e+00    3.250000000000000e+00
   2.500000000000000e+00    2.875000000000000e+00
   2.500000000000000e+00    2.687500000000000e+00
   2.687500000000000e+00    2.875000000000000e+00
   2.875000000000000e+00    3.250000000000000e+00
   3.250000000000000e+00    4.000000000000000e+00
   3.250000000000000e+00    3.625000000000000e+00
   3.625000000000000e+00    4.000000000000000e+00
   3.625000000000000e+00    3.812500000000000e+00
   3.812500000000000e+00    4.000000000000000e+00
